Opponent,Starters,Date
STAN, Vazquez Manuel Pridgett Owens Anderson,11/06/19
MSUN, Vazquez Manuel Pridgett Carter-Hollinger Owens,11/10/19
ARK, Vazquez Manuel Pridgett Owens Anderson,11/16/19
MT, Falls Manuel Pridgett Carter-Hollinger Owens,11/18/19
UW, Falls Manuel Pridgett Carter-Hollinger Owens,11/22/19
TSU, Falls Manuel Pridgett Carter-Hollinger Owens,11/25/19
CSU, Falls Manuel Pridgett Carter-Hollinger Owens,11/29/19
UNM, Falls Manuel Pridgett Carter-Hollinger Owens,12/01/19
UND, Falls Manuel Pridgett Carter-Hollinger Owens,12/06/19
UO, Falls Manuel Pridgett Carter-Hollinger Owens,12/18/19
UNO, Falls Manuel Pridgett Samuelson Anderson,12/21/19
NAU,Vazquez Falls Manuel Pridgett Carter-Hollinger,12/28/19
SAC,Vazquez Falls Manuel Pridgett Samuelson,12/30/19
SUU,Vazquez Falls Manuel Pridgett Samuelson,01/02/20
UNC,Vazquez Falls Manuel Pridgett Samuelson,01/04/20
EWU,Vazquez Falls Manuel Pridgett Samuelson,01/09/20
PSU, Falls Manuel Pridgett Carter-Hollinger Anderson,01/13/20
UI,Vazquez Falls Manuel Pridgett Samuelson,01/18/20
ISU,Vazquez Falls Manuel Pridgett Samuelson,01/23/20
WSU,Vazquez Falls Manuel Pridgett Samuelson,01/25/20
PSU, Falls Manuel Pridgett Carter-Hollinger Anderson,01/30/20
MSU, Falls Manuel Pridgett Carter-Hollinger Samuelson,02/01/20
EWU, Falls Manuel Pridgett Carter-Hollinger Samuelson,02/06/20
UI, Falls Manuel Pridgett Carter-Hollinger Samuelson,02/08/20
WSU, Falls Manuel Pridgett Carter-Hollinger Samuelson,02/13/20
ISU, Vazquez Manuel Pridgett Carter-Hollinger Samuelson,02/15/20
MSU, Falls Manuel Pridgett Carter-Hollinger Samuelson,02/22/20
NAU, Falls Manuel Pridgett Carter-Hollinger Samuelson,02/27/20
SAC, Falls Manuel Pridgett Carter-Hollinger Samuelson,02/29/20
UNC, Falls Manuel Pridgett Carter-Hollinger Samuelson,03/05/20
SUU, Falls Manuel Pridgett Carter-Hollinger Samuelson,03/07/20
